duration (seconds),emg amplitude
22.943392,16
22.944584,16
22.945776,36
22.946956,100
22.94824,121
22.949504,100
22.950796,1
22.9519,256
22.95318,900
22.954448,900
22.95572,361
22.956996,25
22.958196,9
22.959296,49
22.960488,49
22.961672,49
22.962852,64
22.964044,81
22.965232,100
22.96652,49
22.967712,4
22.968812,196
22.97008,361
22.971364,196
22.972644,36
22.973832,4
22.974932,0
22.976036,1
22.97714,4
22.97824,9
22.979348,25
22.980536,81
22.981724,144
22.983,121
22.984284,1
22.985388,289
22.98666,961
22.987944,784
22.989216,289
22.990484,25
22.991676,4
22.992776,25
22.993972,25
22.995168,16
22.996356,25
22.997536,36
22.998728,64
22.99992,64
23.00112,16
23.002304,9
23.003408,169
23.004684,256
23.00596,121
23.007252,25
23.008428,0
23.009528,1
23.01064,4
23.011744,4
23.01284,16
23.014028,49
23.015208,64
23.016408,4
23.01752,100
23.0188,400
23.020064,400
23.02134,121
23.022628,9
23.023732,4
23.024832,4
23.025936,9
23.02704,4
23.028144,9
23.02924,25
23.030428,49
23.031616,81
23.032808,81
23.034008,4
23.03512,100
23.036384,441
23.03766,441
23.03894,144
23.040216,25
23.041412,1
23.042512,0
23.043612,0
23.044716,4
23.045816,25
23.047004,64
23.048192,121
23.049472,100
23.050756,4
23.05186,169
23.053132,576
23.054408,484
23.055688,144
23.056964,4
23.05806,4
23.059164,9
23.060272,9
23.061376,9
23.06248,25
23.063676,64
23.06486,81
23.066048,64
23.067244,9
23.068348,81
23.069536,484
23.070816,576
23.072092,225
23.073364,16
23.074556,4
23.07566,16
23.07684,16
23.07804,9
23.07914,25
23.080332,64
23.081512,144
23.082788,144
23.084084,16
23.085268,169
23.086544,729
23.087812,729
23.089084,256
23.090368,16
23.091564,9
23.09266,49
23.09384,49
23.095028,64
23.096224,100
23.097488,144
23.098772,169
23.100044,100
23.101324,9
23.102432,484
23.103716,1156
23.105072,900
23.106336,256
23.107624,9
23.108728,25
23.10992,81
23.111104,81
23.112288,121
23.11356,121
23.114836,144
23.116112,121
23.117392,16
23.11858,121
23.11986,484
23.121136,529
23.122408,196
23.123688,16
23.124876,0
23.12598,4
23.127092,9
23.128192,16
23.12938,36
23.130564,64
23.131744,121
23.133024,100
23.134316,1
23.135416,225
23.136688,625
23.137964,529
23.139236,169
23.14052,16
23.1417,0
23.142808,4
23.143916,9
23.145016,16
23.1462,64
23.147384,121
23.148668,196
23.149944,121
23.15122,1
23.15232,361
23.1536,784
23.15488,484
23.15616,121
23.157432,1
23.158532,9
23.159632,16
23.160824,16
23.16202,25
23.163204,49
23.164388,100
23.165664,100
23.16694,36
23.168144,25
23.169328,361
23.170604,576
23.171876,289
23.173164,36
23.174348,1
23.175448,9
23.17656,9
23.177664,4
23.17876,9
23.179864,25
23.181056,64
23.182232,100
23.183524,64
23.18472,4
23.185824,324
23.187092,676
23.188364,400
23.189648,64
23.19084,0
23.191944,9
23.19304,16
23.194232,16
23.195416,16
23.196608,36
23.197796,81
23.198988,121
23.20026,36
23.20146,36
23.202644,576
23.203932,961
23.2052,529
23.206476,81
23.20766,1
23.20876,49
23.209952,64
23.211152,81
23.21234,81
23.213516,121
23.214788,144
23.216068,100
23.21736,9
23.218464,81
23.219648,529
23.220924,784
23.222192,400
23.22348,64
23.224664,0
23.225768,16
23.226956,25
23.228144,25
23.229336,49
23.230524,100
23.2318,144
23.233064,121
23.234356,9
23.235464,169
23.23674,625
23.238012,529
23.239284,169
23.240556,9
23.241664,1
23.242768,9
23.24388,9
23.244984,16
23.246164,36
23.247348,64
23.248532,100
23.249808,100
23.251104,4
23.252212,169
23.253476,576
23.254756,484
23.256028,144
23.257308,1
23.258412,9
23.25952,9
23.260628,4
23.261724,9
23.262824,25
23.264012,64
23.265188,121
23.26648,100
23.26776,9
23.26886,100
23.270136,484
23.271412,529
23.272692,169
23.273964,16
23.275156,0
23.27626,4
23.277364,4
23.278468,9
23.279568,25
23.280764,64
23.281948,100
23.283216,100
23.2845,4
23.285604,196
23.286888,729
23.28816,625
23.289436,169
23.290708,4
23.291812,9
23.292912,25
23.294112,25
23.2953,36
23.296476,64
23.297664,144
23.298944,144
23.300224,81
23.301428,1
23.302528,361
23.303792,784
23.305076,576
23.306352,121
23.307628,1
23.308728,16
23.309912,25
23.311104,16
23.312296,16
23.313484,49
23.314676,81
23.31586,100
23.317132,49
23.318332,0
23.319436,256
23.32072,625
23.321996,400
23.32326,81
23.324452,0
23.325556,9
23.326656,16
23.327852,16
23.329044,25
23.330232,64
23.331404,100
23.332688,121
23.333968,25
23.335168,36
23.33636,529
23.337628,784
23.3389,400
23.340184,81
23.341372,0
23.34248,16
23.343656,25
23.344848,36
23.34604,64
23.347228,144
23.3485,196
23.349768,144
23.351052,9
23.352164,196
23.35344,729
23.35472,729
23.355984,289
23.35726,25
23.358452,1
23.35956,16
23.360748,16
23.36194,25
23.363116,81
23.3643,121
23.365584,169
23.366864,100
23.368144,0
23.36924,256
23.370524,784
23.3718,729
23.37308,256
23.374348,16
23.37554,4
23.37664,25
23.377832,25
23.379024,36
23.380212,64
23.381404,100
23.382664,169
23.383948,64
23.385144,9
23.386248,361
23.387528,625
23.388796,289
23.390076,36
23.391268,1
23.392368,9
23.39348,9
23.394584,9
23.395688,16
23.396872,36
23.398052,64
23.39924,81
23.400444,25
23.40164,9
23.402744,256
23.404012,484
23.405284,289
23.406564,49
23.40776,0
23.408864,9
23.409968,9
23.411072,9
23.412172,36
23.413356,64
23.414544,121
23.415824,121
23.417096,49
23.418296,36
23.41948,625
23.420756,1024
23.42212,676
23.4234,169
23.424668,0
23.425768,36
23.42696,49
23.42816,49
23.42934,64
23.430528,100
23.4318,100
23.433076,100
23.434364,4
23.435468,121
23.436744,441
23.438012,361
23.439284,121
23.440572,9
23.441672,4
23.44278,9
23.44388,4
23.444976,9
23.446084,25
23.447268,64
23.448452,100
23.449736,100
23.451024,16
23.452204,64
23.453392,484
23.454676,625
23.455952,289
23.457228,36
23.458412,0
23.459516,16
23.460704,16
23.461904,9
23.463004,25
23.464196,64
23.465372,100
23.466648,100
23.467932,9
23.469036,121
23.47032,576
23.471588,529
23.47286,196
23.47414,16
23.475332,1
23.47644,9
23.477544,16
23.478724,25
23.479908,64
23.481092,121
23.482368,144
23.483652,121
23.484932,4
23.486032,289
23.487316,841
23.488592,676
23.489868,169
23.49114,9
23.492248,4
23.493348,9
23.494448,9
23.495552,25
23.496752,36
23.497936,81
23.499116,81
23.500308,64
23.501508,0
23.502608,169
23.503888,484
23.505168,324
23.506436,100
23.507716,4
23.508824,1
23.509924,4
23.511024,4
23.512136,25
